"case","school","grade","female","ageyr","mo","agemo","t01_visperc","t02_cubes","t03_frmbord","t04_lozenges","t05_geninfo","t06_paracomp","t07_sentcomp","t08_wordclas","t09_wordmean","t10_addition","t11_code","t12_countdot","t13_sccaps","t14_wordrecg","t15_numbrecg","t16_figrrecg","t17_objnumb","t18_numbfig","t19_figword","t20_deduction","t21_numbpuzz","t22_probreas","t23_series","t24_woody","t25_frmbord2","t26_flags"
43,"Pasteur",7,1,12,5,149,5,7.75,7.6,2.5,5.2727,3,5.25,5.6,3.1429,3.2174,4.9286,4.5,4.8889,5.6364,2.2857,7,0.75,1.5,3.5,0.5,2.75,4.5556,3.1111,4.75,NA,NA
44,"Pasteur",7,2,12,1,145,3.2857,5.75,5.6,1.625,2.9091,2.6667,4.25,6,2.1429,4.913,5.4286,5.1,4.6389,6.3636,6.1429,8,2.75,5,3.75,1.3333,3.25,2.4444,3,6.25,NA,NA
45,"Pasteur",7,2,13,6,162,2.7143,5,4,1.25,3.5455,1.6667,4.25,3.8,1.5714,2.8261,4,5.3,4.7778,4.0909,2,5.8571,1.5,1.25,3.5,1.3333,2.5,2,1,4.5,NA,NA
46,"Pasteur",7,2,13,8,164,1.5714,5.25,3.6,1,2.5455,1.6667,3.75,4.4,0.5714,3.9565,3.8571,4.75,2.7778,4.9091,2.7143,0.2857,1,0.5,4,1.0556,2,2.7778,0.1111,3.75,NA,NA
47,"Pasteur",7,1,14,8,176,3.5714,5.25,5.6,1.875,2.4545,2,3,4.4,1.4286,3.9565,2.7143,5.6,6.6667,6.1818,5.2857,6.7143,1.5,1.75,2.5,1.5,3.25,2.2222,3,4.75,NA,NA
48,"Pasteur",7,1,14,2,170,5.4286,5.5,5.2,2.75,4.9091,4.6667,5.5,6.8,2,5.3913,6.7143,5,6.8611,7.0909,5,7.5714,3.25,3.75,4.75,2.3333,1.5,3,2.1111,6.25,NA,NA
49,"Pasteur",7,1,13,7,163,5.1429,5.5,5.6,4.5,2.4545,3,4.25,4.6,1.2857,4.8261,5.4286,5,5,6.3636,5.2857,6.2857,1.75,1.5,1,1.1667,1.5,2.7778,2.5556,4.5,NA,NA
50,"Pasteur",7,1,13,5,161,6.1429,8.5,7.2,4,1.4545,0.6667,1,2.6,1,3.3478,4.5714,6.35,6.2778,4.0909,4,7.5714,1,1,3.25,4.5,3.75,4.3333,3.6667,6,NA,NA
51,"Pasteur",7,2,13,6,162,2.7143,4.75,3.6,1.375,2.7273,2.6667,3.25,4.6,1.2857,6.1304,3.4286,8,5.4444,7.3636,4.2857,5.7143,2,1.75,2,0.5,3,2,0.5556,6.25,NA,NA
52,"Pasteur",7,1,12,11,155,3.7143,5.5,4.4,2.75,3.1818,2,2.25,3.6,1,5.6522,3.9286,5.9,6.0556,6.1818,4.7143,5.1429,1.75,3.25,2.75,0.6667,4.75,2,1.4444,5.25,NA,NA
54,"Pasteur",7,2,13,2,158,3.8571,6.25,6.8,1.125,3.6364,3.6667,5.5,6.2,2.1429,2.5652,4.7143,4.8,5.5278,6.7273,0.7143,6.5714,0.5,3.75,3.5,-0.3333,2.25,3.2222,2,4.25,NA,NA
55,"Pasteur",7,1,13,7,163,4.7143,5.75,7.6,3.75,1.4545,1.6667,2.25,4,0.1429,2.3478,3.7857,5.05,5.5,5.4545,4.4286,5.5714,1.75,1.25,2.25,1.5556,3.25,1.4444,2.1111,5.75,NA,NA
56,"Pasteur",7,1,12,4,148,6,6,6.4,2.125,4.2727,2.3333,4.5,6.2,1.4286,3.6522,4.9286,5.15,4.7778,5.5455,5.1429,7.8571,1.25,3,3.25,1,4,2,2.2222,3.75,NA,NA
57,"Pasteur",7,1,15,7,187,3.2857,7.5,5.2,3.25,0.7273,0.6667,1.5,3,0.1429,3.2609,3.5714,4.2,5.3889,5.5455,3.1429,7.1429,0,0.75,2.25,1.5,3.5,2.1111,1.4444,5.5,NA,NA
58,"Pasteur",7,1,13,4,160,4.4286,4.75,6.4,1.75,4.3636,3.3333,3.5,3,2.1429,3.4783,3,5.1,4.1944,5,4.5714,6.5714,3.75,1.75,1.75,0.6111,2.75,2.7778,2.5556,5.75,NA,NA
60,"Pasteur",7,1,12,8,152,4.2857,6,5.2,4.125,4.1818,2,4.5,6.4,2.1429,4.1739,5.4286,4.8,4.4167,4.7273,3.5714,7.8571,4.25,2.75,4.5,2.1667,4.5,2.3333,2.5556,5.5,NA,NA
62,"Pasteur",7,1,14,4,172,4.8571,5.25,4.4,2.125,2.5455,2.6667,4.5,4.2,1.4286,4.0435,3.8571,5.7,5.5556,5.7273,5,3.5714,0.75,4.25,3.25,0.3333,1,4,2.1111,6.25,NA,NA
63,"Pasteur",7,1,16,2,194,3.4286,4.75,5.2,3.25,2.2727,1.6667,3,3.8,1.7143,4.1739,5.0714,5.25,5.6389,6.2727,6,6.8571,1.25,3,4,0.2778,3.25,1.5556,0.3333,6,NA,NA
64,"Pasteur",7,1,13,3,159,5,5.25,6,3.875,4.6364,2.6667,5.5,4.6,2.4286,3.4348,4.7143,5.8,4.75,7.0909,5.7143,7.1429,1,2.5,4,3.3333,3.75,1.1111,2.5556,5.25,NA,NA
65,"Pasteur",7,2,14,0,168,3.2857,6.5,3.2,2,2.4545,1,2.5,3.4,1.2857,3.3913,5.2857,4.55,4.8333,5,2.5714,5.5714,2.5,2.75,3.25,-0.1667,3.25,1.8889,0.7778,6.5,NA,NA
66,"Pasteur",7,1,15,3,183,3.5714,5.75,5.6,1.75,3.7273,1.3333,3,3.6,1,3.5217,3.8571,6.15,3.9444,4.4545,3,5.5714,0.75,0,2.25,0,2.5,1.4444,0.2222,3.75,NA,NA
67,"Pasteur",7,2,12,5,149,4.5714,5.75,4.8,3.375,3.3636,4,5.5,5.4,2.5714,5.2609,5.7143,6.2,6.1389,6.9091,4.2857,7.8571,2.25,1.5,4,2.5556,4.75,3.8889,3.4444,6,NA,NA
68,"Pasteur",7,2,12,9,153,3.4286,6,4.8,3.625,4,2.6667,5,5.6,2.1429,4.913,4.2857,5.35,4.7778,6.3636,4,7.7143,2.5,3,2.5,2,5.75,3.5556,1.8889,6.25,NA,NA
69,"Pasteur",7,2,12,10,154,4.5714,6.75,6.4,1.375,1.4545,1.6667,2.5,4.2,0.7143,2.6522,3.9286,3.85,5.3333,6.2727,3.7143,5.4286,3,2,3.5,0.6667,2.75,2.7778,2.1111,5.75,NA,NA
70,"Pasteur",7,2,13,11,167,4.5714,5,6,1.25,4.2727,3.3333,4.5,5.6,2.4286,5.5217,4.5714,5.45,5.8333,6.0909,5.1429,7,2.25,2.5,3.75,2.5,4,3.7778,2.5556,7,NA,NA
71,"Pasteur",7,2,13,1,157,3.1429,5.75,4.4,3.625,3,2.6667,5,4.4,1.4286,3.3043,7.3571,4.5,5.0278,5.4545,5,7.2857,2.25,2.5,1.75,1.1667,3.25,3,0.6667,3.75,NA,NA
72,"Pasteur",7,2,12,11,155,5.5714,6,5.2,2.5,4.9091,3.6667,4.5,6,3,5.6957,6.3571,5.4,6.3056,6.0909,5.7143,7.1429,3,1.25,1,0.1667,5.25,3.2222,3,7.5,NA,NA
73,"Pasteur",7,1,14,11,179,3.4286,9.25,6.4,4,3.8182,3,3.75,5.4,1,3.6087,5.1429,5.75,6.1944,6.8182,4.5714,7.7143,2.75,2.5,3.5,2.5,2.25,2.8889,2.1111,5,NA,NA
74,"Pasteur",7,2,13,0,156,4,5.75,6,3.625,2.1818,2.6667,2.75,5,1.8571,3.8696,3.9286,6.1,4.25,6,2.8571,6.1429,3.75,4,2,-0.0556,2.25,2.3333,1.3333,6.5,NA,NA
75,"Pasteur",7,2,13,9,165,2.4286,5,4.8,0.875,3.5455,3,2.5,4.8,1.5714,6.8261,4.6429,5.7,3.9167,7.2727,5.4286,7.2857,3.5,3.25,3.75,0.6667,3.25,2.1111,1.2222,6.25,NA,NA
76,"Pasteur",7,1,12,8,152,4,5,6.4,0.75,5,4.3333,4,4.6,2.7143,4.7391,5.5714,5.95,5.4167,5.9091,5.2857,6.7143,2.5,3.25,2.75,1.1667,3.25,2.1111,0.6667,4.75,NA,NA
77,"Pasteur",7,2,14,2,170,0.5714,4.5,4.4,0.75,2,2,3,3.2,1,3.6087,4.8571,5.5,4.6111,6.0909,3,6,1.75,0.75,3.5,-0.1667,3.25,2.7778,0.6667,5.5,NA,NA
78,"Pasteur",7,1,13,3,159,3.7143,9.25,5.6,3.375,2,1.3333,2.25,5.2,1.1429,3.7391,3.6429,5.75,5.1667,5.7273,5.8571,7.5714,1.75,3.25,2.5,2,4.25,3.3333,1.5556,5.25,NA,NA
79,"Pasteur",7,1,13,1,157,4.2857,4.5,5.6,2.625,4,1.6667,2.75,4.8,1.5714,5.2609,5,7.35,5.9722,5.4545,3.1429,6.7143,2.5,1.25,3.25,1.6667,3,1.6667,1.2222,6.25,NA,NA
80,"Pasteur",7,1,13,7,163,4.2857,6,3.6,3.25,4.6364,3.3333,5.75,6.2,2.7143,3.4783,5.5714,4.6,4.2778,6.9091,5.1429,7.7143,4.25,3,4.25,1.7222,2.5,4.1111,3.1111,4,NA,NA
81,"Pasteur",7,2,12,9,153,3.5714,5.25,3.6,2.125,1.8182,3,3.25,4.8,0.7143,3.4783,5.0714,5.7,4.5833,6.9091,4.8571,7.4286,2.75,1,3.25,0.5,4,2.4444,3.3333,6.25,NA,NA
82,"Pasteur",7,2,13,9,165,3.2857,5.25,4.8,2.375,2.0909,1.6667,2.25,4.2,1,3.1304,6.1429,5.75,4.6667,2.3636,3.5714,6.4286,1.25,2.75,4.5,0.5,3.75,1.8889,1.6667,5.5,NA,NA
83,"Pasteur",7,1,12,6,150,4.8571,7,7.6,2.125,5.0909,4,4.75,5.2,2.2857,5.6522,5.4286,5.7,6.4722,4.2727,3,6.2857,0.5,1.75,1.5,-0.3333,4.5,3.1111,2.3333,6,NA,NA
85,"Pasteur",7,1,16,7,199,1.4286,5.75,5.2,1.375,2.2727,0,1.5,2.4,1.1429,5.6957,4.0714,4,5.6389,4.4545,4.2857,6.7143,2,2,1.75,0.3333,3,2.6667,1.3333,4.75,NA,NA
86,"Pasteur",8,2,14,7,175,5.4286,5.5,7.2,4.125,2.3636,4,3.25,4.4,1.8571,5.5652,5.6429,7.35,5.75,6.8182,5.8571,8,4.75,2.5,3.25,2.3333,5.25,4.1111,2.5556,7.5,NA,NA
87,"Pasteur",8,1,14,1,169,3.4286,5.25,5.2,2.5,2,1,1.5,2.2,1.8571,4.6957,4.4286,5.15,5.3333,7.0909,4.8571,7.2857,1.5,3.75,4,0.3333,3,2.1111,1.1111,7.75,NA,NA
88,"Pasteur",8,1,14,11,179,3.8571,6,4,1.75,2.6364,1.6667,2,4,1.5714,5.8696,5.6429,6.45,6.0278,6.6364,4.4286,7.1429,6,3.25,4.75,0.5556,3.75,2.2222,1.5556,5.25,NA,NA
89,"Pasteur",8,1,13,7,163,4,8,6.4,4.25,4.0909,3,4.75,5.6,2.4286,5.1304,3.7143,5.75,5.3056,6.8182,4.1429,7.5714,2.5,3.25,5,0.8333,4.5,3,3.4444,6.25,NA,NA
90,"Pasteur",8,1,14,5,173,4.1429,8.25,2.4,2.25,1.6364,0.3333,2.25,3.6,0.5714,5.3478,4.7143,5.2,5.7778,6.2727,4.5714,6,2.25,2,4,1.3333,3.25,1.8889,1.8889,5,NA,NA
91,"Pasteur",8,2,13,2,158,4.1429,6.5,8,1.75,2,2.3333,3.5,5.2,0.7143,5.7826,5.7143,5.75,4.9722,7,3.7143,6.7143,1.75,2,1.75,0.5556,4,2.8889,2.5556,5.5,NA,NA
93,"Pasteur",8,2,14,7,175,2.5714,5.25,4.8,0.625,3.0909,1,1.5,4.2,1,4.9565,3.8571,4.85,4.5833,4.6364,2.5714,5,5.5,3,1.5,0.3889,1,1.2222,0.6667,4,NA,NA
94,"Pasteur",8,2,12,11,155,5.4286,6.25,4,2.5,4.4545,3.3333,5.75,7.2,3.7143,4.6087,6.5,6.85,5.4722,7.0909,4.7143,8,3.25,2.75,4.75,1.5,4,4.7778,3.5556,7.5,NA,NA
95,"Pasteur",8,2,13,8,164,4.7143,7,4.8,2.875,2.0909,2.6667,4,4.6,0.8571,4.087,5.3571,5.4,5.9722,6.6364,5,7.2857,2.75,4.25,3,1.1667,4.25,3.6667,3.2222,6.5,NA,NA
96,"Pasteur",8,2,13,3,159,4.5714,6,7.6,2.75,4.0909,4,5,6,2.1429,5.5217,5.7857,4.55,5.1389,6.1818,4.4286,4.7143,3.75,1.5,3,0.2778,4.25,2.7778,2.5556,6.5,NA,NA
97,"Pasteur",8,2,13,11,167,2.8571,7.25,5.6,3.25,0.8182,1.3333,1.25,4.4,0.5714,3.5652,4.6429,5.55,4.8889,7.3636,4.7143,7,4.25,2,3.75,0.6667,4,2.4444,1.4444,3.5,NA,NA
98,"Pasteur",8,2,13,10,166,4.7143,5,5.2,2.25,3.5455,3.6667,4.5,4.4,1.7143,4.1739,5.3571,5.95,6.6667,5.0909,3.8571,6.7143,3.5,1,3.25,2.5,4,2.3333,2.6667,5.75,NA,NA
99,"Pasteur",8,1,13,10,166,3.4286,6.5,6.4,2.625,2.1818,2.6667,2.75,2,1.8571,6.6522,4.7857,7.5,5.4444,6.3636,4.5714,6,4,0,3.75,1.5,4.25,2.5556,3.5556,7.25,NA,NA
100,"Pasteur",8,2,14,0,168,3.2857,6.25,5.6,3.375,1.7273,2,3.75,4.8,0.4286,5.3913,5.7857,7.8,6.1111,5.1818,4.1429,7.4286,2.25,2.5,3.5,1.0556,3.25,2.8889,2,4.5,NA,NA
101,"Pasteur",8,1,15,4,184,4.4286,4.75,6,2.125,3.2727,1,2,2.8,1.5714,3.5652,4.4286,6.4,5.7222,5.2727,2.1429,5.7143,1,2.25,4.75,1.5556,3,2.2222,2.2222,5,NA,NA
102,"Pasteur",8,1,13,8,164,3.7143,3.5,6,0.875,2.1818,2.6667,3.25,4.4,1.1429,3.6087,2.5,4.8,3.9444,6.8182,4.4286,6.8571,2,3,4.25,1.0556,2.25,1.8889,2.5556,6,NA,NA
103,"Pasteur",8,1,14,10,178,3.5714,5.5,3.2,0.875,4.5455,4.6667,4.75,5.4,2.1429,4.1304,3.4286,5.35,3.7778,6.7273,4.4286,6.1429,2.75,2,2,1.6667,3.25,0.8889,2.2222,6.25,NA,NA
104,"Pasteur",8,1,13,8,164,4.2857,5.75,4,4.25,3.0909,4,4.25,5,2.4286,3.5652,4.3571,3.6,5.4444,7.5455,4.2857,8.2857,3.25,4,4.75,3.1111,3.75,3.3333,0.7778,5.25,NA,NA
105,"Pasteur",8,1,13,4,160,3.7143,4.75,6,0.5,4.3636,3.3333,5.75,3.8,2.8571,5.5217,5.5,5.85,4.2222,5.5455,2.4286,5.8571,1.25,3.25,2,0.3333,2.5,3.6667,1.8889,5,NA,NA
106,"Pasteur",8,2,13,2,158,6.4286,7.5,4.8,2.125,4.3636,5.3333,6.75,5.6,2.7143,5.1304,6.4286,5.55,7.2222,5.8182,3,6.8571,4.25,2.25,3.75,2.1667,4,4.5556,3.3333,7,NA,NA
108,"Pasteur",8,2,13,11,167,4.2857,3.75,5.6,1.375,2.3636,1.6667,2.75,4.2,1.4286,5.5652,4.3571,6.1,4.6111,4.1818,1.5714,3.2857,2.5,2.5,3.25,0.9444,2.25,1.5556,1,4.75,NA,NA
109,"Pasteur",8,1,13,4,160,4.7143,6.25,4.8,2.75,5.2727,3.6667,4.5,5.4,3.2857,4.913,4.8571,5.15,5.75,4.4545,3.8571,5.5714,1,3.5,2.5,0.6667,3.25,2.6667,3.1111,5,NA,NA
110,"Pasteur",8,1,15,3,183,5.2857,3.75,6,4.375,2.6364,2.6667,3.25,4.8,1,4.2609,4.5,5.3,6.25,5.7273,3.7143,6.8571,3.25,2.25,4,0,3,3.7778,2.3333,5.75,NA,NA
111,"Pasteur",8,2,13,10,166,5.5714,6.5,4.8,1.875,2.7273,3.6667,3.75,5.2,1.7143,4.5217,5.4286,4.4,6.5833,6.8182,5,8.5714,2,2.75,5,1.5556,4.25,2.8889,1.6667,6.25,NA,NA
112,"Pasteur",8,1,13,3,159,3.7143,7.75,6.8,1.875,4.3636,4.3333,4.5,5.6,1.8571,5.8696,5.1429,6.25,4.1111,4.7273,2.5714,7,2.75,1,3.25,2,4.75,3.7778,2.4444,5.75,NA,NA
113,"Pasteur",8,1,13,4,160,4,5.25,4.4,1.625,4.7273,3.3333,4.5,5.2,2.8571,3.8261,3.7857,4.85,4.8333,4.7273,4.4286,6.4286,1.25,0.75,4,1,3.75,2.6667,1.8889,3.75,NA,NA
114,"Pasteur",8,1,15,3,183,5.8571,9,10,4.375,5.0909,2.6667,5.75,5.2,5,3,4.4286,6.2,6.0278,6.1818,5.1429,7.8571,2,2.25,3.5,2.0556,4.75,3.4444,2.4444,5,NA,NA
115,"Pasteur",8,2,12,10,154,3.8571,6.5,6.8,3.125,4.0909,2.6667,5.5,4.6,2.1429,6.3478,7,6.5,6.1667,7.1818,4.2857,7.5714,2.5,2,4.75,2.1667,4.5,3.1111,2.5556,7,NA,NA
116,"Pasteur",8,2,13,5,161,5.8571,6.5,5.6,0.75,4.4545,5.3333,5.75,6.2,3.1429,7.4348,6.2857,5.7,5.1944,5.6364,4.1429,7.5714,1.25,4,2.25,1.6111,4.25,3.3333,2.8889,6.5,NA,NA
117,"Pasteur",8,2,13,10,166,4.7143,6.75,5.6,3.75,2.9091,2.6667,2.75,4,2,4.1739,7,6.8,7,5.5455,5.4286,8.2857,2.5,3,3.75,1.8889,2.5,1.5556,1.6667,5,NA,NA
118,"Pasteur",8,2,14,5,173,5.4286,5.5,5.6,1.625,5,5.6667,5.5,5.2,4,5.6957,5.7143,6.4,7.5278,6.1818,2.8571,8.1429,2.75,1.25,3.75,0.3333,4.5,3.7778,3.3333,7.5,NA,NA
