"school","sex","age","address","famsize","pstatus","medu","fedu","mjob","fjob","reason","guardian","traveltime","studytime","failures","schoolsup","famsup","paid","activities","nursery","higher","internet","romantic","famrel","freetime","goout","dalc","walc","health","absences","final_grade"
"GP","M",17,"U","GT3","T","Secondary","5th-9th","services","services","course","mother","<15min","<2hrs","3","no","yes","yes","yes","yes","yes","yes","no","Excellent","VeryHigh","VeryHigh","Low","High","VeryGood",2,7
"GP","M",16,"U","LE3","T","Higher","Secondary","health","other","home","father","<15min","<2hrs","0","no","no","no","yes","yes","yes","yes","no","Average","VeryLow","Average","VeryLow","Average","VeryGood",6,12
"GP","M",15,"U","GT3","T","Higher","Secondary","teacher","other","reputation","mother","<15min","2-5hrs","0","no","no","no","no","yes","yes","yes","no","Good","High","VeryLow","VeryLow","VeryLow","VeryBad",0,14
"GP","M",15,"U","GT3","T","Higher","Higher","health","health","other","father","<15min","<2hrs","0","no","yes","yes","no","yes","yes","yes","no","Excellent","High","Low","VeryLow","VeryLow","VeryGood",0,12
"GP","M",16,"U","LE3","T","Higher","5th-9th","teacher","other","course","mother","<15min","2-5hrs","0","no","no","no","yes","yes","yes","yes","no","Good","VeryHigh","VeryLow","VeryLow","Average","VeryGood",0,14
"GP","M",16,"U","LE3","T","5th-9th","5th-9th","other","other","reputation","mother","15-30min","2-5hrs","0","no","yes","no","yes","yes","yes","yes","no","Excellent","High","High","Low","High","VeryGood",2,10
"GP","F",15,"R","GT3","T","5th-9th","Higher","services","health","course","mother","<15min","5-10hrs","0","yes","yes","no","yes","yes","yes","yes","no","Good","Average","Low","VeryLow","VeryLow","VeryGood",2,10
"GP","F",16,"U","GT3","T","5th-9th","5th-9th","services","services","home","mother","<15min","<2hrs","0","no","yes","no","no","no","yes","yes","no","VeryBad","Low","Low","VeryLow","Average","VeryGood",6,12
"GP","M",15,"U","GT3","T","5th-9th","5th-9th","other","other","home","mother","<15min","<2hrs","0","no","yes","no","no","yes","yes","yes","no","Good","Low","Low","VeryLow","Low","VeryGood",8,12
"GP","M",15,"U","GT3","T","Higher","5th-9th","health","services","other","mother","<15min","<2hrs","0","no","no","no","no","yes","yes","yes","no","Bad","Low","High","Low","High","VeryBad",0,11
"GP","M",16,"U","LE3","A","Secondary","Higher","services","other","home","mother","<15min","2-5hrs","0","yes","yes","yes","yes","yes","yes","yes","no","Excellent","Average","Average","VeryLow","VeryLow","VeryGood",2,13
"GP","M",16,"U","GT3","T","Higher","Higher","teacher","teacher","home","mother","<15min","2-5hrs","0","no","yes","yes","yes","yes","yes","yes","yes","Good","High","VeryHigh","VeryHigh","VeryHigh","VeryGood",4,12
"GP","M",15,"U","GT3","T","Higher","Higher","health","services","home","mother","<15min","2-5hrs","0","no","yes","yes","no","no","yes","yes","no","Excellent","High","Low","Average","High","VeryGood",0,11
"GP","M",15,"U","GT3","T","Higher","Higher","services","services","reputation","mother","15-30min","2-5hrs","0","no","yes","no","yes","yes","yes","yes","no","Good","Average","VeryLow","VeryLow","VeryLow","VeryGood",2,15
"GP","M",15,"R","GT3","T","Higher","Secondary","teacher","at_home","course","mother","<15min","2-5hrs","0","no","yes","no","yes","yes","yes","yes","yes","Good","VeryHigh","Low","VeryLow","VeryLow","VeryGood",0,15
"GP","M",15,"U","LE3","T","Secondary","Secondary","other","other","course","mother","<15min","2-5hrs","0","no","no","no","yes","no","yes","yes","no","Excellent","Average","Low","VeryLow","VeryLow","Bad",0,12
"GP","M",16,"U","GT3","T","Secondary","5th-9th","other","other","home","mother","<15min","<2hrs","0","no","yes","no","no","no","yes","yes","no","Excellent","High","Average","VeryLow","VeryLow","VeryGood",4,12
"GP","F",15,"U","GT3","T","5th-9th","Secondary","other","other","other","father","15-30min","<2hrs","0","no","yes","no","yes","yes","yes","no","no","Average","VeryHigh","VeryLow","VeryLow","VeryLow","VeryGood",4,11
"GP","M",15,"U","LE3","T","Higher","Secondary","teacher","services","home","mother","<15min","5-10hrs","0","no","yes","no","yes","yes","yes","yes","no","Excellent","High","Average","VeryLow","VeryLow","Good",0,14
"GP","M",16,"R","GT3","A","Higher","Higher","other","teacher","reputation","mother","15-30min","5-10hrs","0","no","yes","no","yes","yes","yes","yes","yes","Bad","High","Average","VeryLow","VeryLow","VeryGood",4,13
"GP","F",15,"R","GT3","T","Secondary","Higher","services","health","course","mother","<15min","5-10hrs","0","yes","yes","no","yes","yes","yes","yes","no","Good","Average","Low","VeryLow","VeryLow","VeryGood",2,12
"GP","F",15,"R","GT3","T","5th-9th","5th-9th","at_home","other","reputation","mother","<15min","<2hrs","0","yes","yes","no","yes","yes","yes","no","no","Good","Average","VeryLow","VeryLow","VeryLow","Bad",8,12
"GP","F",16,"U","LE3","T","5th-9th","5th-9th","other","other","home","mother","15-30min","2-5hrs","0","no","yes","no","yes","no","yes","yes","yes","Average","Average","Average","VeryLow","Low","Average",16,10
"GP","M",15,"U","LE3","T","Higher","Higher","teacher","other","home","other","<15min","<2hrs","0","no","yes","no","no","no","yes","yes","yes","Excellent","High","Average","Low","High","VeryGood",8,11
"GP","M",15,"U","GT3","T","Higher","Higher","services","teacher","course","father","<15min","2-5hrs","0","no","yes","no","yes","yes","yes","yes","no","Good","Average","Average","VeryLow","VeryLow","VeryGood",0,15
"GP","M",15,"U","GT3","T","5th-9th","5th-9th","services","services","course","father","<15min","<2hrs","0","yes","yes","no","no","yes","yes","yes","no","Excellent","High","VeryLow","VeryLow","VeryLow","VeryBad",0,10
"GP","F",16,"U","LE3","T","5th-9th","5th-9th","other","at_home","course","father","15-30min","2-5hrs","1","yes","no","no","yes","yes","yes","yes","no","Good","Average","Average","Low","Low","VeryGood",14,11
"GP","F",15,"U","LE3","A","Higher","Secondary","other","other","course","mother","<15min","2-5hrs","0","yes","yes","yes","yes","yes","yes","yes","yes","Excellent","Low","Low","VeryLow","VeryLow","VeryGood",4,11
"GP","F",16,"U","LE3","A","Secondary","Secondary","other","services","home","mother","<15min","2-5hrs","0","no","yes","no","no","yes","yes","yes","no","Bad","Average","VeryHigh","VeryLow","High","Average",6,13
"GP","M",16,"U","GT3","T","Higher","Secondary","health","services","reputation","mother","<15min",">10hrs","0","no","no","no","yes","yes","yes","yes","no","Good","Low","Low","VeryLow","VeryLow","Bad",2,17
"GP","M",15,"U","GT3","T","Higher","5th-9th","teacher","other","home","mother","<15min","2-5hrs","0","no","yes","no","no","yes","yes","no","no","Good","Average","Average","Low","Low","VeryGood",4,13
"GP","F",15,"U","GT3","T","Higher","Higher","services","teacher","other","father","<15min","2-5hrs","0","yes","yes","no","yes","no","yes","yes","no","Good","High","High","VeryLow","VeryLow","Average",2,12
"GP","F",16,"U","LE3","T","5th-9th","5th-9th","services","services","course","mother","30min-1hr","2-5hrs","0","no","yes","no","no","yes","yes","yes","no","Good","Average","Average","Low","Average","Good",0,13
"GP","F",15,"U","LE3","T","Higher","5th-9th","health","other","other","mother","<15min","2-5hrs","0","no","yes","no","no","yes","yes","yes","no","Good","Average","Average","VeryLow","VeryLow","VeryGood",0,16
"GP","M",15,"U","LE3","A","Higher","5th-9th","health","health","other","father","15-30min","<2hrs","0","no","no","no","no","yes","yes","no","no","Excellent","VeryHigh","VeryHigh","Average","High","VeryGood",4,9
"GP","F",15,"U","GT3","T","Higher","Higher","services","services","course","mother","<15min","<2hrs","0","yes","yes","no","no","yes","yes","yes","no","Average","Average","High","Low","Average","VeryGood",0,12
"GP","F",15,"U","LE3","A","Secondary","Secondary","other","other","other","mother","<15min","<2hrs","0","no","no","no","no","yes","yes","yes","no","Excellent","Average","High","High","High","VeryBad",0,13
"GP","F",16,"U","GT3","A","5th-9th","Primary","other","other","other","mother","<15min","2-5hrs","0","no","no","no","yes","yes","yes","yes","yes","Excellent","Average","High","VeryLow","VeryLow","Bad",2,12
"GP","F",15,"U","GT3","A","Higher","Secondary","services","services","reputation","mother","<15min","2-5hrs","0","no","yes","no","yes","yes","yes","yes","no","Good","Average","Low","VeryLow","VeryLow","VeryBad",0,15
"GP","M",15,"U","GT3","T","Higher","Higher","teacher","health","reputation","mother","<15min","2-5hrs","0","no","yes","no","yes","yes","yes","no","no","Average","Low","Low","VeryLow","VeryLow","VeryGood",8,16
"GP","M",15,"U","LE3","T","Primary","5th-9th","other","at_home","home","father","<15min","2-5hrs","0","yes","yes","no","yes","yes","yes","yes","no","Good","Average","Low","VeryLow","VeryLow","VeryGood",0,14
"GP","F",16,"U","GT3","T","Higher","5th-9th","services","other","course","mother","<15min","2-5hrs","0","no","yes","yes","no","yes","yes","yes","no","Good","Low","Average","VeryLow","VeryLow","VeryGood",2,16
"GP","F",16,"R","GT3","T","Higher","Higher","health","teacher","other","mother","<15min","2-5hrs","0","no","yes","no","yes","yes","yes","no","no","Bad","High","High","Low","Average","Good",0,16
"GP","F",16,"U","GT3","T","Primary","Primary","services","services","course","father",">1hr","<2hrs","0","yes","yes","no","yes","no","yes","yes","yes","Excellent","VeryHigh","VeryHigh","VeryHigh","VeryHigh","VeryGood",0,16
"GP","F",16,"U","LE3","T","Primary","5th-9th","other","services","reputation","father","<15min","2-5hrs","0","yes","no","no","yes","yes","yes","yes","no","Good","High","Average","VeryLow","VeryLow","VeryBad",0,10
"GP","F",16,"U","GT3","T","Higher","Secondary","teacher","health","home","mother","<15min","5-10hrs","0","yes","yes","no","yes","yes","yes","yes","no","Average","High","High","Low","High","Good",0,13
"GP","F",15,"U","LE3","T","Higher","Secondary","services","services","reputation","father","<15min","2-5hrs","0","yes","no","no","yes","yes","yes","yes","yes","Good","High","High","Low","High","Bad",0,12
"GP","F",16,"U","LE3","T","Higher","Secondary","teacher","services","course","mother","30min-1hr","2-5hrs","0","no","yes","no","yes","yes","yes","yes","no","Excellent","High","Average","VeryLow","Low","VeryBad",2,16
"GP","M",15,"U","GT3","A","Higher","Higher","other","services","reputation","mother","<15min",">10hrs","0","no","yes","no","yes","no","yes","yes","yes","VeryBad","Average","Average","VeryHigh","VeryHigh","Average",0,12
"GP","F",16,"U","GT3","T","Secondary","Primary","services","other","course","mother","<15min",">10hrs","0","yes","yes","no","no","yes","yes","yes","no","Good","Average","Average","VeryLow","Low","VeryGood",0,10
"GP","F",15,"R","LE3","T","5th-9th","5th-9th","health","services","reputation","mother","15-30min","2-5hrs","0","yes","yes","no","no","yes","yes","yes","no","Good","VeryLow","Average","VeryLow","Average","Good",0,11
"GP","F",15,"R","LE3","T","Secondary","Primary","other","other","reputation","father","15-30min",">10hrs","0","no","yes","no","no","no","yes","yes","no","Good","High","Low","Low","Average","Average",6,15
"GP","M",16,"U","GT3","T","Secondary","Primary","other","other","reputation","father","15-30min",">10hrs","0","no","yes","no","no","yes","yes","yes","no","Good","Average","Low","VeryLow","VeryLow","VeryGood",2,11
"GP","M",15,"U","GT3","T","Higher","5th-9th","other","other","course","mother","<15min",">10hrs","0","no","no","no","no","yes","yes","yes","no","Average","Average","Average","VeryLow","VeryLow","Average",0,10
"GP","F",15,"R","GT3","T","Primary","Primary","other","other","reputation","mother","<15min","2-5hrs","0","yes","yes","no","no","no","yes","yes","yes","Average","Average","High","Low","High","VeryGood",2,11
"GP","M",16,"U","GT3","T","Secondary","Primary","other","other","reputation","mother","<15min","<2hrs","0","no","no","no","yes","yes","yes","no","no","Excellent","Average","Low","Low","Low","VeryGood",0,14
"GP","F",16,"U","GT3","T","Secondary","Secondary","other","services","home","mother","<15min","2-5hrs","0","yes","yes","no","yes","yes","yes","yes","no","Good","Average","Average","Low","High","VeryGood",4,11
"GP","M",15,"U","GT3","T","Higher","Secondary","teacher","other","home","mother","<15min","2-5hrs","0","no","yes","no","yes","yes","yes","yes","no","Good","Average","Average","Low","Average","VeryGood",0,11
"GP","M",15,"U","GT3","T","Higher","None","teacher","other","course","mother","15-30min",">10hrs","0","no","no","no","yes","yes","yes","yes","no","Average","High","Average","VeryLow","VeryLow","VeryBad",0,11
"GP","F",16,"U","GT3","T","5th-9th","5th-9th","other","other","reputation","mother","<15min",">10hrs","0","no","no","no","no","yes","yes","yes","yes","Excellent","Low","Average","VeryLow","Average","Average",1,13
"GP","M",17,"U","GT3","T","5th-9th","Primary","other","other","home","mother","15-30min","<2hrs","3","yes","yes","no","yes","yes","no","yes","no","Good","VeryHigh","VeryLow","VeryLow","VeryLow","Average",0,10
"GP","F",16,"U","GT3","T","Secondary","Higher","at_home","other","course","mother","<15min","2-5hrs","0","no","yes","no","no","yes","yes","yes","no","Bad","High","Average","VeryLow","Low","Average",14,11
"GP","M",15,"U","GT3","T","5th-9th","Secondary","other","services","course","father","<15min","<2hrs","0","yes","yes","no","yes","no","yes","yes","yes","Average","Low","Low","VeryLow","Average","Average",0,12
"GP","M",15,"U","GT3","T","5th-9th","Secondary","other","other","home","mother","<15min","5-10hrs","0","yes","no","no","no","no","yes","yes","no","Excellent","Average","Low","VeryLow","Low","VeryGood",2,9
"GP","F",15,"U","LE3","T","Secondary","5th-9th","services","other","reputation","mother","<15min","2-5hrs","0","no","yes","no","no","yes","yes","yes","no","Good","High","High","VeryLow","VeryLow","VeryGood",4,11
"GP","M",15,"U","LE3","T","5th-9th","5th-9th","services","services","home","mother","15-30min","2-5hrs","0","no","no","yes","yes","yes","yes","yes","no","Excellent","Average","Average","VeryLow","Average","Good",2,13
"GP","F",15,"U","GT3","T","Primary","Primary","other","other","home","father","<15min","2-5hrs","0","no","yes","no","yes","no","yes","yes","no","Good","Average","Low","Low","Average","Good",2,12
"GP","F",15,"U","GT3","T","Higher","Higher","services","services","reputation","father","15-30min","2-5hrs","0","no","no","no","no","yes","yes","yes","yes","Good","High","High","Low","Average","VeryGood",4,12
"GP","F",16,"U","LE3","T","5th-9th","5th-9th","at_home","other","course","mother","<15min","2-5hrs","0","no","yes","no","no","yes","yes","no","no","Good","Average","High","VeryLow","Low","Bad",6,11
"GP","F",15,"U","GT3","T","Higher","5th-9th","other","other","reputation","mother","<15min","5-10hrs","0","no","yes","no","yes","yes","yes","yes","no","Excellent","Average","Average","VeryLow","Average","VeryBad",4,15
"GP","M",16,"U","GT3","T","5th-9th","5th-9th","services","other","reputation","father","15-30min","2-5hrs","0","no","no","no","yes","no","yes","yes","no","Good","High","Low","VeryLow","VeryLow","Average",6,11
"GP","M",16,"U","LE3","A","Higher","Higher","teacher","health","reputation","mother","<15min","2-5hrs","0","no","yes","no","no","yes","yes","no","no","Good","VeryLow","Average","Average","VeryHigh","VeryGood",6,10
"GP","F",16,"U","GT3","T","Secondary","Secondary","other","other","home","mother","<15min","5-10hrs","0","no","yes","no","no","yes","yes","yes","yes","Good","Average","Average","VeryLow","Average","Good",2,11
"GP","F",15,"U","GT3","T","Higher","Secondary","services","other","reputation","mother","<15min","<2hrs","0","no","no","no","yes","yes","yes","yes","no","Good","VeryHigh","VeryHigh","VeryLow","Average","VeryBad",6,13
"GP","F",16,"U","LE3","T","Secondary","Primary","other","other","home","father","<15min","2-5hrs","0","yes","yes","no","no","yes","yes","no","no","Average","Average","Average","Low","Average","Bad",0,12
"GP","F",16,"U","GT3","T","Higher","5th-9th","teacher","services","home","mother","15-30min","2-5hrs","0","no","yes","no","yes","yes","yes","yes","no","Excellent","Average","Average","VeryLow","VeryLow","VeryBad",2,14
"GP","M",15,"U","LE3","T","5th-9th","5th-9th","services","health","reputation","mother","<15min",">10hrs","0","no","yes","no","yes","yes","yes","yes","no","Good","Average","High","VeryLow","VeryLow","Good",2,12
"GP","F",15,"R","GT3","T","Primary","Primary","at_home","other","home","mother","15-30min",">10hrs","0","yes","yes","yes","yes","yes","yes","yes","no","Average","VeryLow","Low","VeryLow","VeryLow","VeryBad",4,13
"GP","M",16,"R","GT3","T","Higher","Secondary","services","other","reputation","mother","15-30min","<2hrs","0","yes","yes","yes","yes","no","yes","yes","no","Average","Average","Average","VeryLow","VeryLow","Good",6,11
"GP","F",16,"U","GT3","T","5th-9th","Primary","other","other","course","mother","<15min","2-5hrs","0","no","yes","no","no","yes","yes","no","yes","Good","Average","VeryHigh","VeryLow","VeryLow","VeryGood",0,12
"GP","F",16,"U","GT3","T","Higher","Higher","other","other","reputation","mother","<15min","<2hrs","0","no","no","no","yes","no","yes","yes","no","Excellent","Average","High","VeryLow","Low","VeryBad",4,13
"GP","F",16,"U","GT3","T","Higher","Secondary","other","at_home","course","mother","<15min","5-10hrs","0","yes","yes","no","no","yes","yes","yes","no","Excellent","Average","VeryHigh","VeryLow","VeryLow","Average",2,13
"GP","M",16,"U","GT3","T","Higher","Higher","services","services","other","mother","<15min","<2hrs","0","yes","yes","no","yes","yes","yes","yes","no","Good","VeryHigh","VeryHigh","VeryHigh","VeryHigh","Good",12,8
"GP","M",16,"U","GT3","T","Higher","Higher","services","teacher","other","father","<15min","5-10hrs","0","no","yes","no","yes","yes","yes","yes","yes","Good","High","Average","VeryLow","VeryLow","Good",0,16
"GP","M",15,"U","GT3","T","Higher","Higher","services","other","course","mother","<15min","<2hrs","0","no","yes","yes","yes","no","yes","yes","no","Excellent","Average","Average","VeryLow","VeryLow","VeryGood",2,12
"GP","F",15,"U","GT3","T","Secondary","5th-9th","services","other","home","mother","15-30min","2-5hrs","0","yes","yes","no","no","yes","yes","yes","no","Good","Average","VeryHigh","VeryLow","VeryLow","Bad",16,10
"GP","M",15,"U","GT3","A","Secondary","Higher","services","other","course","mother","<15min","2-5hrs","0","no","yes","no","yes","yes","yes","yes","no","Excellent","High","High","VeryLow","VeryLow","VeryBad",0,16
"GP","F",15,"U","GT3","A","Secondary","Secondary","other","health","reputation","father","<15min",">10hrs","0","yes","no","no","no","yes","yes","no","no","Good","Average","Average","VeryLow","VeryLow","Good",10,10
"GP","F",15,"U","GT3","T","5th-9th","5th-9th","other","other","course","mother","<15min",">10hrs","0","yes","yes","no","no","yes","yes","yes","no","Excellent","VeryLow","Low","VeryLow","VeryLow","Average",4,10
"GP","M",16,"U","GT3","T","Secondary","Secondary","services","other","home","father","<15min","5-10hrs","0","no","yes","no","yes","yes","yes","yes","no","Excellent","Average","Average","VeryLow","VeryLow","VeryGood",4,14
"GP","M",15,"R","GT3","T","Higher","Higher","other","other","home","father",">1hr",">10hrs","0","no","yes","no","yes","yes","yes","yes","yes","VeryBad","Average","VeryHigh","Average","VeryHigh","VeryBad",8,11
"GP","F",16,"U","LE3","T","Higher","Higher","health","health","other","mother","<15min","5-10hrs","0","no","yes","no","yes","yes","yes","yes","yes","Excellent","High","VeryHigh","VeryLow","VeryLow","Good",2,14
"GP","M",15,"U","LE3","A","Higher","Higher","teacher","teacher","course","mother","<15min","<2hrs","0","no","no","no","yes","yes","yes","yes","no","Excellent","VeryHigh","Average","VeryLow","VeryLow","Good",4,14
"GP","F",16,"R","GT3","T","Secondary","Secondary","services","other","reputation","father","<15min","5-10hrs","0","yes","yes","no","yes","yes","yes","yes","no","Good","VeryLow","Low","VeryLow","VeryLow","Bad",4,11
"GP","F",16,"U","GT3","T","5th-9th","5th-9th","at_home","other","home","mother","<15min","2-5hrs","1","yes","no","no","yes","yes","yes","yes","no","Average","VeryLow","Low","VeryLow","VeryLow","VeryGood",12,10
"GP","M",15,"U","LE3","T","Higher","5th-9th","teacher","other","course","mother","<15min","<2hrs","0","no","no","no","no","yes","yes","yes","no","Average","VeryHigh","Low","VeryLow","VeryLow","Average",10,18
"GP","M",15,"R","GT3","T","5th-9th","Primary","health","services","reputation","mother","<15min","2-5hrs","0","no","no","no","yes","yes","yes","yes","yes","Excellent","High","Low","VeryLow","VeryLow","VeryGood",4,10
"GP","M",16,"U","GT3","T","Higher","Higher","teacher","teacher","course","father","<15min","2-5hrs","0","no","yes","no","yes","yes","yes","yes","no","Excellent","High","High","VeryLow","Low","VeryGood",6,14
"GP","M",15,"U","GT3","T","Higher","Higher","other","teacher","reputation","father","15-30min","2-5hrs","0","no","yes","no","yes","yes","yes","no","no","Good","High","Average","VeryLow","VeryLow","Bad",4,16
"GP","M",16,"U","GT3","T","Secondary","Secondary","other","services","home","father","15-30min","<2hrs","0","no","no","no","yes","yes","yes","yes","no","Excellent","High","Low","VeryLow","VeryLow","VeryGood",6,15
"GP","M",17,"R","GT3","T","Primary","Secondary","other","other","course","father","30min-1hr","2-5hrs","1","no","yes","no","yes","yes","yes","yes","no","Excellent","Low","High","VeryLow","High","VeryGood",14,11
"GP","M",15,"U","GT3","T","Secondary","Higher","other","other","reputation","father","<15min","<2hrs","0","no","no","no","no","yes","yes","yes","no","Average","High","Average","VeryLow","Low","Good",2,14
"GP","F",15,"U","GT3","T","Primary","5th-9th","at_home","services","course","mother","<15min","2-5hrs","0","no","no","no","no","no","yes","yes","no","Average","Low","Average","VeryLow","Low","VeryBad",0,14
"GP","M",15,"U","GT3","T","5th-9th","5th-9th","services","services","home","father","<15min",">10hrs","0","no","yes","no","yes","yes","yes","yes","no","Excellent","VeryHigh","High","VeryLow","Low","VeryGood",6,13
"GP","F",16,"U","LE3","T","5th-9th","Higher","other","health","course","father","15-30min","2-5hrs","0","no","yes","no","yes","yes","yes","yes","yes","Good","Low","Low","VeryLow","Low","VeryGood",2,13
"GP","M",16,"U","GT3","T","Higher","Higher","health","other","course","mother","<15min","<2hrs","0","no","yes","no","yes","yes","yes","yes","no","Average","High","High","VeryLow","High","VeryGood",4,13
"GP","F",16,"U","GT3","T","5th-9th","5th-9th","other","other","home","mother","<15min","2-5hrs","0","no","no","no","no","yes","yes","yes","yes","Excellent","High","High","VeryLow","VeryLow","VeryGood",0,11
"GP","M",15,"U","GT3","T","Secondary","Higher","services","services","home","father","<15min","<2hrs","0","yes","no","no","no","yes","yes","yes","no","Excellent","VeryHigh","VeryHigh","Average","Low","VeryGood",2,9
"GP","F",15,"U","LE3","A","Secondary","Higher","other","other","home","mother","<15min","2-5hrs","0","yes","no","no","yes","yes","yes","yes","yes","Excellent","Average","Low","VeryLow","VeryLow","VeryBad",0,11
"GP","F",19,"U","GT3","T","None","Primary","at_home","other","course","other","<15min","2-5hrs","2","no","yes","no","no","no","no","no","no","Average","High","Low","VeryLow","VeryLow","VeryGood",0,11
"GP","M",16,"R","GT3","T","Higher","Higher","teacher","teacher","course","mother","<15min","<2hrs","0","no","no","no","yes","yes","yes","yes","no","Average","VeryHigh","VeryHigh","Low","VeryHigh","Good",8,15
"GP","M",16,"U","GT3","T","5th-9th","Secondary","other","other","course","mother","15-30min","5-10hrs","0","no","yes","no","no","no","yes","yes","yes","Average","Low","Average","Low","Low","VeryBad",4,13
"GP","F",15,"R","GT3","T","Secondary","Higher","services","teacher","course","father","15-30min","5-10hrs","0","no","yes","no","no","yes","yes","yes","yes","Good","Low","Low","Low","Low","VeryGood",0,12
"GP","F",18,"U","GT3","T","5th-9th","Primary","services","other","reputation","mother","<15min","2-5hrs","3","no","yes","no","yes","yes","no","yes","yes","Excellent","High","VeryHigh","VeryLow","Average","VeryGood",10,8
"GP","F",17,"U","LE3","A","5th-9th","Primary","other","other","course","mother","30min-1hr","<2hrs","0","no","yes","no","no","yes","yes","yes","no","Average","Low","Low","VeryLow","Low","VeryGood",8,11
"GP","F",15,"U","GT3","T","Primary","Primary","at_home","other","course","mother","30min-1hr","<2hrs","0","no","yes","no","yes","no","yes","yes","yes","Good","Average","Average","VeryLow","Low","Good",6,13
"GP","F",17,"U","LE3","T","5th-9th","5th-9th","other","other","course","father","<15min","<2hrs","0","no","yes","no","no","yes","yes","yes","yes","Average","High","High","VeryLow","Average","VeryGood",2,12
"GP","F",16,"U","GT3","A","Secondary","Higher","services","other","course","father","<15min","<2hrs","0","no","no","no","no","yes","yes","yes","no","Average","Low","VeryLow","VeryLow","High","VeryGood",12,14
"GP","M",16,"U","GT3","T","5th-9th","Primary","at_home","other","course","mother",">1hr","<2hrs","0","no","no","no","no","yes","yes","no","no","Average","Low","VeryLow","VeryLow","VeryLow","Bad",4,11
"GP","F",16,"U","GT3","A","5th-9th","5th-9th","other","other","home","mother","<15min","<2hrs","1","no","no","no","no","yes","yes","no","no","Excellent","Average","High","VeryLow","VeryLow","VeryGood",12,11
